IP,Port,HTTP Code,Response Duration,Error message
59.152.104.142,31286,0,0.412391,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 59.152.104.142:31286: connect: connection refused
101.109.83.200,45684,0,0.308335,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 101.109.83.200:45684: connect: connection refused
195.29.239.34,57278,0,0.083450,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 195.29.239.34:57278: connect: connection refused
202.138.236.35,51490,0,0.307450,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 202.138.236.35:51490: connect: connection refused
193.93.78.242,32231,200,0.509584,
177.125.20.35,38602,0,0.268217,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 177.125.20.35:38602: connect: connection refused
185.130.219.238,61129,200,0.562832,
188.134.16.191,43665,200,0.533809,
134.119.188.153,8080,429,0.204543,
177.73.196.243,52331,0,0.610833,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 177.73.196.243:52331: connect: connection refused
138.219.228.158,8080,0,0.727166,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 138.219.228.158:8080: connect: no route to host
185.130.219.238,61129,200,1.703078,
182.50.64.148,53281,0,1.858623,Head http://www.profinance.ru: read tcp 172.17.0.4:55358->182.50.64.148:53281: read: connection reset by peer
138.121.25.16,55780,0,2.012695,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 138.121.25.16:55780: connect: connection refused
181.129.183.19,53281,200,2.223235,
46.254.217.54,53281,200,2.279247,
62.4.60.50,53281,200,2.595818,
45.112.56.142,51618,200,2.871544,
1.10.187.13,51064,200,3.027730,
118.174.232.237,48665,200,3.264104,
210.213.59.84,46622,0,3.423588,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 210.213.59.84:46622: connect: connection refused
103.194.249.251,40657,0,3.464907,Head http://www.profinance.ru: proxyconnect tcp: dial tcp 103.194.249.251:40657: connect: connection refused
1.10.187.241,58364,200,3.506364,
1.179.157.237,46178,200,3.628454,
36.89.143.193,4550,200,3.845437,
93.87.41.14,43711,200,4.022910,
118.173.232.43,53586,200,4.139229,
84.232.111.251,21776,200,3.826134,
187.87.38.207,45644,200,4.403467,
36.89.143.193,4550,200,4.448308,
118.174.234.11,33208,200,5.092065,
182.52.51.23,59402,200,5.408917,
116.212.157.29,57725,200,5.699779,
118.174.234.11,33208,200,6.016936,
110.74.219.3,32381,200,6.074246,
170.84.51.74,53281,200,6.411139,
190.151.94.2,46615,200,6.796570,
36.37.113.4,36485,200,6.605654,
1.20.97.96,54205,200,6.989789,
201.16.151.65,44610,200,7.213929,
45.112.56.142,51618,200,7.488412,
93.64.183.162,56508,200,8.729042,
186.146.2.111,60837,200,8.689651,
94.74.133.100,80,503,9.943733,
118.174.233.102,55819,0,10.000170,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
37.44.255.123,8085,0,10.000228,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
196.32.109.132,32844,0,10.000235,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
101.255.120.170,6969,0,10.000107,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.210.179,8085,0,10.000177,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
137.74.109.229,3128,0,10.000116,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
118.174.233.102,55819,0,10.000101,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
2.57.79.21,8085,0,10.000164,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.85.44,8085,0,10.000108,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
142.93.104.92,8118,0,10.000073,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
167.114.153.18,80,0,10.000123,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
118.174.220.32,51399,0,10.000219,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
88.218.67.12,8085,0,10.000171,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
188.75.155.46,61150,0,10.000096,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
89.191.229.166,8085,0,10.000113,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.251.22.19,8085,0,10.000069,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
203.128.94.102,61281,0,10.000147,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
24.199.108.228,80,0,10.000047,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
189.22.197.148,43209,0,10.000101,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
111.125.141.6,47360,0,10.000186,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
31.40.253.24,8085,0,10.000056,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
118.174.220.32,51399,0,10.000158,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
202.5.42.133,59268,0,10.000108,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.209.129,8085,0,10.000106,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
31.40.254.214,8085,0,10.000099,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
200.127.61.133,8080,0,10.000194,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
88.218.66.42,8085,0,10.000107,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
178.159.107.150,8085,0,10.000054,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.92.57,8085,0,10.000107,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.86.59,8085,0,10.000087,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.253.6.74,8085,0,10.000058,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
178.159.107.140,8085,0,10.000171,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.211.214,8085,0,10.000069,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.211.120,8085,0,10.000094,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.94.49,8085,0,10.000091,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
213.166.79.23,8085,0,10.000085,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
90.75.195.58,8080,0,10.000081,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.208.85.46,8085,0,10.000063,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
177.11.117.101,8080,0,10.000082,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.251.23.18,8085,0,10.000083,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
185.252.214.240,8085,0,10.000196,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.243.89.181,8085,0,10.000195,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
109.196.128.67,8085,0,10.000196,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.188.246.102,8085,0,10.000100,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
193.32.86.95,8085,0,10.000196,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
85.90.166.35,55135,0,10.000320,Head http://www.profinance.ru: net/http: request canceled (Client.Timeout exceeded while awaiting headers)
85.208.210.14,8085,0,10.000091,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
31.40.209.213,8085,0,10.000129,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
129.205.210.90,65205,0,10.000213,Head http://www.profinance.ru: net/http: request canceled (Client.Timeout exceeded while awaiting headers)
193.32.86.95,8085,0,10.000095,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
78.38.180.21,8080,0,10.000095,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
91.205.218.33,80,0,10.000078,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
186.64.121.220,80,0,10.000057,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
93.179.209.210,57520,0,10.000078,Head http://www.profinance.ru: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
